iteration,true_entropy,test_regret,norm post_avg-true,post_regret,perf_measure,std_proxy,mean_proxy,std_goal,mean_goal,cum_test_regret,cum_post_regret,time,time_query_chooser
-1,13.815510557964274,170.179540309906,1.1930516498860195,2.3203645981934864e+75,inf,5.454141508067286,0.0429,5.476203245862991,-0.0349,170.179540309906,2.3203645981934864e+75,0.000280000000000058,0.0
0,12.683105,155.5542042541504,1.2127282138070727,168.90945638656615,12.775648,5.361656367205281,1.071,5.425979466381986,-0.08548,325.7337445640564,2.3203645981934864e+75,3.001565000000003,2.257170000000002
1,11.597731,143.14804876327514,1.1701976296080951,155.31967292785646,11.69155,5.367482885636718,-0.37082,5.187571204330579,-1.785,468.88179332733154,2.3203645981934864e+75,2.615774000000002,1.8412189999999988
