iteration,true_entropy,test_regret,norm post_avg-true,post_regret,perf_measure,std_proxy,mean_proxy,std_goal,mean_goal,cum_test_regret,cum_post_regret,time,time_query_chooser
-1,13.815510557964274,107.0993408203125,1.5151588482481635,144.21686807632446,inf,5.491974646846282,-0.00972,5.465296056793402,0.01546,107.0993408203125,144.21686807632446,0.0004429999999970846,0.0
0,12.8289385,85.58979919433594,1.079794033388759,107.0993408203125,12.779502,5.267304215099246,-1.57916,5.489283080184506,-0.24284,192.68914001464844,251.31620889663697,2.576170999999995,1.8884059999999963
1,11.882244,99.90421844482422,1.17743099240091,86.61539794921875,11.84736,5.068903644142588,-2.37408,5.436279978073465,-0.71,292.59335845947265,337.9316068458557,2.5590859999999935,1.7994869999999992
